reference,year,month,day,smart_meter_kwh,noise_db
flat 1a 33 draywick,2023,1,1,25.0,49.4
flat 1a 33 draywick,2023,1,2,24.9,
flat 1a 33 draywick,2023,1,3,25.1,48.8
flat 1a 33 draywick,2023,1,4,23.4,50.2
flat 1a 33 draywick,2023,1,5,21.1,54.5
flat 1a 33 draywick,2023,1,6,24.0,40.8
flat 1a 33 draywick,2023,1,7,26.8,52.8
flat 1a 33 draywick,2023,1,8,20.9,55.2
flat 1a 33 draywick,2023,1,9,23.0,48.8
flat 1a 33 draywick,2023,1,10,22.2,43.2
flat 1a 33 draywick,2023,1,11,21.8,45.7
flat 1a 33 draywick,2023,1,12,22.4,50.1
flat 1a 33 draywick,2023,1,13,20.6,51.2
flat 1a 33 draywick,2023,1,14,21.3,46.6
flat 1a 33 draywick,2023,1,15,24.7,50.2
flat 1a 33 draywick,2023,1,16,22.7,
flat 1a 33 draywick,2023,1,17,26.2,39.2
flat 1a 33 draywick,2023,1,18,27.7,46.8
flat 1a 33 draywick,2023,1,19,24.6,48.8
flat 1a 33 draywick,2023,1,20,21.5,49.3
flat 1a 33 draywick,2023,1,21,24.1,49.5
flat 1a 33 draywick,2023,1,22,19.0,59.6
flat 1a 33 draywick,2023,1,23,26.3,56.7
flat 1a 33 draywick,2023,1,24,23.6,51.8
flat 1a 33 draywick,2023,1,25,20.9,41.9
flat 1a 33 draywick,2023,1,26,27.4,45.0
flat 1a 33 draywick,2023,1,27,24.0,43.7
flat 1a 33 draywick,2023,1,28,23.9,51.1
flat 1a 33 draywick,2023,1,29,23.7,43.0
flat 1a 33 draywick,2023,1,30,22.2,51.5
flat 1a 33 draywick,2023,1,31,25.5,
flat 1a 33 draywick,2023,2,1,23.5,
flat 1a 33 draywick,2023,2,2,20.8,52.0
flat 1a 33 draywick,2023,2,3,21.7,44.7
flat 1a 33 draywick,2023,2,4,25.8,50.3
flat 1a 33 draywick,2023,2,5,23.8,43.1
flat 1a 33 draywick,2023,2,6,22.3,51.1
flat 1a 33 draywick,2023,2,7,22.9,44.1
flat 1a 33 draywick,2023,2,8,22.3,
flat 1a 33 draywick,2023,2,9,29.1,45.2
flat 1a 33 draywick,2023,2,10,25.3,43.1
flat 1a 33 draywick,2023,2,11,22.1,
flat 1a 33 draywick,2023,2,12,23.7,49.7
flat 1a 33 draywick,2023,2,13,22.8,44.2
flat 1a 33 draywick,2023,2,14,25.3,47.2
flat 1a 33 draywick,2023,2,15,26.4,46.7
flat 1a 33 draywick,2023,2,16,23.6,41.9
flat 1a 33 draywick,2023,2,17,23.6,50.6
flat 1a 33 draywick,2023,2,18,20.5,43.9
flat 1a 33 draywick,2023,2,19,23.7,53.4
flat 1a 33 draywick,2023,2,20,22.3,47.1
flat 1a 33 draywick,2023,2,21,24.6,41.6
flat 1a 33 draywick,2023,2,22,20.9,54.1
flat 1a 33 draywick,2023,2,23,21.7,51.9
flat 1a 33 draywick,2023,2,24,25.1,54.3
flat 1a 33 draywick,2023,2,25,23.8,55.8
flat 1a 33 draywick,2023,2,26,20.5,56.2
flat 1a 33 draywick,2023,2,27,22.5,40.2
flat 1a 33 draywick,2023,2,28,23.7,42.3
flat 1a 33 draywick,2023,3,1,17.9,53.0
flat 1a 33 draywick,2023,3,2,22.0,42.9
flat 1a 33 draywick,2023,3,3,23.8,49.7
flat 1a 33 draywick,2023,3,4,22.5,53.0
flat 1a 33 draywick,2023,3,5,21.5,
flat 1a 33 draywick,2023,3,6,22.1,42.6
flat 1a 33 draywick,2023,3,7,20.5,45.5
flat 1a 33 draywick,2023,3,8,22.8,37.4
flat 1a 33 draywick,2023,3,9,21.0,43.5
flat 1a 33 draywick,2023,3,10,22.9,52.3
flat 1a 33 draywick,2023,3,11,23.0,54.3
flat 1a 33 draywick,2023,3,12,21.8,46.0
flat 1a 33 draywick,2023,3,13,24.3,
flat 1a 33 draywick,2023,3,14,22.1,53.2
flat 1a 33 draywick,2023,3,15,27.1,41.6
flat 1a 33 draywick,2023,3,16,19.6,54.8
flat 1a 33 draywick,2023,3,17,21.4,48.0
flat 1a 33 draywick,2023,3,18,22.5,53.5
flat 1a 33 draywick,2023,3,19,23.2,47.4
flat 1a 33 draywick,2023,3,20,21.9,
flat 1a 33 draywick,2023,3,21,24.7,40.9
flat 1a 33 draywick,2023,3,22,21.2,52.4
flat 1a 33 draywick,2023,3,23,21.8,45.9
flat 1a 33 draywick,2023,3,24,20.7,42.8
flat 1a 33 draywick,2023,3,25,16.7,40.1
