reference,year,month,day,avgTemperature,avgHumidity,avgCo2
flat 1a 33 draywick,2023,1,1,21.15,58.25,654.05
flat 1a 33 draywick,2023,1,2,21.54,60.93,629.91
flat 1a 33 draywick,2023,1,3,20.64,54.49,
flat 1a 33 draywick,2023,1,4,,55.67,
flat 1a 33 draywick,2023,1,5,20.84,53.39,590.17
flat 1a 33 draywick,2023,1,6,20.99,56.45,546.36
flat 1a 33 draywick,2023,1,7,21.1,56.78,
flat 1a 33 draywick,2023,1,8,20.13,53.84,636.67
flat 1a 33 draywick,2023,1,9,21.25,57.39,625.08
flat 1a 33 draywick,2023,1,10,20.31,58.93,
flat 1a 33 draywick,2023,1,11,22.18,59.58,
flat 1a 33 draywick,2023,1,12,22.72,56.32,728.36
flat 1a 33 draywick,2023,1,13,21.02,61.76,627.01
flat 1a 33 draywick,2023,1,14,20.85,58.29,526.99
flat 1a 33 draywick,2023,1,15,21.56,58.41,630.34
flat 1a 33 draywick,2023,1,16,20.73,57.82,762.61
flat 1a 33 draywick,2023,1,17,21.29,56.3,618.23
flat 1a 33 draywick,2023,1,18,20.13,66.57,
flat 1a 33 draywick,2023,1,19,20.78,57.05,
flat 1a 33 draywick,2023,1,20,21.31,56.41,744.4
flat 1a 33 draywick,2023,1,21,20.8,60.97,583.37
flat 1a 33 draywick,2023,1,22,22.09,56.64,
flat 1a 33 draywick,2023,1,23,20.89,56.69,684.96
flat 1a 33 draywick,2023,1,24,21.27,60.29,696.94
flat 1a 33 draywick,2023,1,25,21.8,55.04,688.25
flat 1a 33 draywick,2023,1,26,21.38,51.1,654.32
flat 1a 33 draywick,2023,1,27,20.79,56.41,714.11
flat 1a 33 draywick,2023,1,28,21.26,57.64,605.38
flat 1a 33 draywick,2023,1,29,22.19,55.95,746.26
flat 1a 33 draywick,2023,1,30,21.36,58.31,511.39
flat 1a 33 draywick,2023,1,31,21.87,58.7,639.22
flat 1a 33 draywick,2023,2,1,20.77,49.95,691.97
flat 1a 33 draywick,2023,2,2,20.76,58.09,611.34
flat 1a 33 draywick,2023,2,3,20.09,57.55,
flat 1a 33 draywick,2023,2,4,21.71,55.98,711.03
flat 1a 33 draywick,2023,2,5,20.85,61.05,666.98
flat 1a 33 draywick,2023,2,6,20.51,61.29,667.86
flat 1a 33 draywick,2023,2,7,21.29,57.93,652.49
flat 1a 33 draywick,2023,2,8,21.74,60.4,629.83
flat 1a 33 draywick,2023,2,9,22.74,54.34,469.13
flat 1a 33 draywick,2023,2,10,,59.71,
flat 1a 33 draywick,2023,2,11,21.69,62.15,662.49
