reference,property_type,co2_dropout_rate,cold_risk_score,observed_cold_rate,winter_days,rank,data_reliability,sensor_repair_needed,model_reliability,recommended_action,flagged
U938798636,terraced,0.347,0.8176,0.9736,303,1,HIGH,False,OK,Rank by cold-risk score,True
U410997120,terraced,0.349,0.8171,0.967,303,2,HIGH,False,OK,Rank by cold-risk score,True
aldwick way 76,semi-detached,0.294,0.8044,0.967,303,3,HIGH,False,OK,Rank by cold-risk score,True
5 pendwick cl,semi-detached,0.293,0.8044,0.9736,303,4,HIGH,False,OK,Rank by cold-risk score,True
U882661553,terraced,0.259,0.7911,0.9571,303,5,HIGH,False,OK,Rank by cold-risk score,True
U0034718,detached,0.792,0.7893,0.9571,303,6,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U032503,terraced,0.714,0.789,0.9703,303,7,LOW,True,OK,Rank by cold-risk AND dispatch CO2 sensor repair (data integrity),True
U678229542,semi-detached,0.324,0.7867,0.9241,303,8,HIGH,False,OK,Rank by cold-risk score,True
U517557934,semi-detached,0.339,0.7865,0.9307,303,9,HIGH,False,OK,Rank by cold-risk score,True
colwick road 33,terraced,0.289,0.7859,0.9637,303,10,HIGH,False,OK,Rank by cold-risk score,True
U70592280,semi-detached,0.319,0.7857,0.9538,303,11,HIGH,False,OK,Rank by cold-risk score,True
U210908,semi-detached,0.263,0.785,0.9538,303,12,HIGH,False,OK,Rank by cold-risk score,True
U4714176,semi-detached,0.256,0.7846,0.9637,303,13,HIGH,False,OK,Rank by cold-risk score,True
U891887,semi-detached,0.298,0.7842,0.9637,303,14,HIGH,False,OK,Rank by cold-risk score,True
33 aldwick way,semi-detached,0.35,0.784,0.9406,303,15,HIGH,False,OK,Rank by cold-risk score,True
U735244,semi-detached,0.279,0.7829,0.9439,303,16,HIGH,False,OK,Rank by cold-risk score,True
U6462666,semi-detached,0.302,0.7821,0.9703,303,17,HIGH,False,OK,Rank by cold-risk score,True
U37892754,terraced,0.358,0.7816,0.9835,303,18,HIGH,False,OK,Rank by cold-risk score,True
U9993899,semi-detached,0.306,0.7804,0.9637,303,19,HIGH,False,OK,Rank by cold-risk score,True
